,Date,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24
15,2022-01-16,7326575.8,7027957.13,6823567.37,6960034.28,6622883.42,6907058.33,6402352.82,6678499.15,7063792.0,7407534.66,7737243.77,7988716.47,8149076.79,8139526.52,8319501.88,7936726.12,7809603.29,7880173.66,8734213.97,9002593.45,8862884.89,8567329.22,8154194.49,7706277.73
16,2022-01-17,7333945.01,7036119.91,6883487.35,6833346.77,6937329.07,7193155.82,7492726.31,8080499.7,8654918.96,8975145.28,9284895.99,9544063.97,9542566.89,9588360.18,9695390.35,9682943.7,9495433.13,9219810.35,9786405.37,9983964.86,9752629.01,9314065.08,8691190.04,8063280.48
17,2022-01-18,7618549.7,7358472.27,7212115.94,7142275.95,7252902.98,7552215.48,7795461.35,8314420.87,8812656.0,9035202.3,9399359.99,9681185.62,9611770.94,9651098.12,9758170.64,9733835.68,9509935.43,9241779.01,9795844.51,9961452.17,9668078.26,9238445.53,8658561.73,8031312.63
18,2022-01-19,7581856.76,7313921.85,7124070.29,7042363.92,7167938.48,7455685.66,7743637.97,8254837.21,8780319.51,9062325.49,9455228.97,9801906.33,9720988.51,9724069.92,9857072.84,9846141.78,9702821.79,9366100.32,9917767.56,10100155.58,9838934.94,9399120.31,8803191.51,8148563.8
19,2022-01-20,7693648.04,7402826.92,7207961.83,7133423.9,7227047.21,7560486.45,7823174.59,8365603.0,8886666.18,9192069.34,9486060.63,9844795.64,9808574.44,9822980.35,9976825.32,9925666.68,9765742.95,9455097.98,9967314.03,10146533.14,9928441.45,9510220.95,8898563.02,8287321.49
20,2022-01-21,7819870.61,7528797.59,7310556.56,7219420.51,7359903.55,7649774.24,7892454.36,8446210.17,8947777.79,9302027.12,9749637.2,10135422.6,10082175.74,10084356.12,10261887.63,10172369.9,9834983.59,9535948.55,10063111.15,10194849.01,9932879.78,9538207.79,9000386.41,8373624.25
21,2022-01-22,7898245.5,7570284.85,7364413.33,7269651.93,7282873.5,7414315.56,7532677.62,8018077.69,8554216.16,8899554.91,9181413.31,9448089.38,9392772.71,9296233.87,9205185.82,9114503.43,8928036.91,8845926.69,9508093.49,9673772.63,9401282.85,8969030.15,8468950.54,7992466.13
22,2022-01-23,7599108.85,7281312.71,7041215.73,6906820.32,6847307.88,6822828.79,6694595.88,6919652.41,7264612.22,7591396.34,7884889.63,8171634.49,8304568.56,8269483.84,8184803.38,8126720.89,8001550.46,7927835.13,8730898.57,9084100.78,8938302.71,8656639.1,8216309.36,7762425.08
23,2022-01-24,7365809.0,7111424.44,6940977.13,6884851.4,7035675.81,7453658.61,7713639.33,8220148.07,8753964.08,9149243.49,9519365.58,9743084.78,9696225.86,9754624.7,9892407.18,9902420.73,9688904.93,9362272.9,9861565.33,10091735.76,9856831.64,9421283.17,8811140.89,8159066.46
24,2022-01-25,7675416.12,7404373.38,7173562.08,7166928.64,7310753.9,7696658.19,7904718.29,8356066.26,8833194.2,9193470.24,9546501.22,9791091.28,9712322.17,9745558.5,9862616.34,9831760.42,9652406.24,9375829.35,9880788.18,10071282.05,9847669.93,9391478.14,8769817.24,8136956.73
25,2022-01-26,7685680.17,7363770.85,7227333.77,7179360.17,7310898.74,7685225.36,7931066.52,8401990.13,8876041.41,9188614.17,9482931.31,9712996.79,9658956.22,9691117.4,9833825.8,9845756.67,9721349.79,9414822.81,9898411.7,10071782.96,9839272.42,9412623.59,8816091.93,8184029.94
26,2022-01-27,7701902.95,7433057.54,7250542.77,7179701.17,7307380.2,7711657.44,7938037.44,8423156.92,8876819.34,9157250.77,9464217.69,9786642.27,9734564.21,9757350.98,9947193.35,9952550.3,9752901.6,9513124.12,10024411.25,10196149.66,9949585.65,9419519.04,8803189.52,8180746.92
27,2022-01-28,7708069.7,7421061.47,7259253.98,7192233.51,7327569.07,7697201.24,7906820.02,8394973.83,8941946.06,9256439.66,9606626.76,9894493.59,9818142.0,9868913.94,9990267.5,9996576.2,9842860.92,9528703.39,9930140.57,10049273.23,9765935.17,9346497.79,8835289.83,8230164.63
28,2022-01-29,7771131.24,7483088.98,7315450.67,7197612.14,7246500.26,7405731.14,7536867.72,8008024.7,8494130.67,8827307.44,9153437.86,9384123.72,9357787.39,9206889.58,9100601.87,9015387.55,8849340.78,8671918.11,9350837.64,9531466.24,9258342.2,8803244.81,8260879.53,7803645.47
29,2022-01-30,7368755.39,7070583.04,6859991.39,6690175.9,6634481.41,6615580.72,6451776.28,6730755.45,7126872.5,7452164.2,7695684.22,7929027.06,8032048.74,8003081.26,7926245.34,7867556.24,7764537.94,7747181.36,8499022.62,8850354.54,8739124.42,8459629.63,8033866.12,7524856.18
30,2022-01-31,7158868.34,6921154.46,6795373.03,6695291.06,6845834.84,7303290.13,7544428.64,8010535.73,8543958.65,8878553.7,9236805.99,9458668.31,9400021.06,9462743.56,9651295.52,9625450.88,9448842.56,9163569.37,9707377.72,9945681.62,9720185.33,9275160.36,8621339.02,7970451.02
31,2022-02-01,7521136.48,7271405.3,7103259.81,7035180.55,7213799.03,7720777.66,7887229.55,8232023.4,8694458.85,9005056.94,9336091.77,9625020.58,9522446.01,9662847.18,9833990.51,9849292.68,9719158.5,9427245.9,9966043.18,10215009.9,9919452.5,9384948.63,8763864.4,8100240.64
32,2022-02-02,7671849.68,7413068.74,7228239.4,7172048.49,7356477.31,7832248.61,7978619.29,8367642.26,8813013.1,9096960.42,9446604.91,9725732.55,9685105.55,9773906.72,9989855.26,9984929.59,9791971.82,9441104.21,9926062.38,10194599.09,9988861.95,9515335.78,8863335.14,8207593.5
33,2022-02-03,7764201.6,7486467.77,7285863.93,7223581.06,7389624.62,7872868.52,8042109.24,8418368.16,8875938.86,9175839.62,9525022.7,9858117.75,9767894.11,9874700.92,10103845.11,10104814.34,9887574.72,9549132.16,10038298.93,10318103.82,10028635.41,9636920.16,8975764.94,8312247.53
34,2022-02-04,7888716.95,7585317.13,7398081.72,7329086.0,7486787.72,7987138.88,8146796.86,8529534.79,8967234.24,9248736.46,9607593.25,9857495.25,9751003.33,9837224.28,9965119.05,9966519.74,9801063.65,9405782.45,9928242.8,10116457.08,9857295.75,9425561.45,8896502.02,8310784.35
35,2022-02-05,7871277.4,7569283.88,7363165.01,7250193.05,7270792.91,7416462.28,7576352.67,8027764.95,8564386.58,8923006.27,9261594.69,9475939.51,9439577.3,9224090.27,9041423.62,8980238.47,8853594.62,8775625.66,9367202.94,9575678.52,9290266.08,8802714.33,8285986.84,7801050.96
36,2022-02-06,7446777.92,7160217.37,6922102.57,6782054.47,6698058.99,6656951.24,6481625.43,6699388.11,7120218.59,7460287.05,7688329.09,8000203.55,8130847.33,8099925.31,8010327.52,7977439.53,7912854.49,7890044.32,8618500.5,8971523.57,8885502.86,8592598.54,8160527.3,7701401.15
37,2022-02-07,7292795.42,7080540.08,6943047.39,6869584.16,7081635.29,7632804.49,7835656.87,8241702.37,8681634.19,8975918.41,9304848.22,9499721.74,9427107.11,9505488.27,9596393.86,9650628.01,9511566.64,9247376.85,9751109.68,10020646.16,9810601.45,9276587.87,8667023.02,8034998.17
38,2022-02-08,7624208.58,7351596.06,7173159.43,7124745.08,7401742.8,7931153.36,8066034.6,8381391.68,8833589.89,9141670.82,9451640.87,9584086.68,9487533.94,9464203.68,9584149.67,9510720.59,9381399.87,9122199.59,9626342.65,9920429.59,9712586.1,9216694.13,8541559.16,7890504.59
39,2022-02-09,7470408.1,7246267.27,7093622.41,7066130.72,7288163.39,7877934.73,7934588.76,8333764.3,8776349.44,9030259.47,9327362.21,9519960.5,9391692.84,9457916.65,9690844.26,9722863.14,9581564.97,9296893.9,9846128.75,10069894.36,9809121.19,9294336.69,8609695.94,8001166.15
40,2022-02-10,7582473.49,7319201.05,7151793.09,7096419.72,7302404.46,7809651.37,7904937.17,8269453.0,8710897.5,9013448.87,9358358.84,9624090.62,9495736.21,9624273.32,9761439.22,9779375.96,9614298.1,9329080.62,9812687.93,10046914.96,9835512.84,9381853.45,8738330.75,8100432.47
41,2022-02-11,7668477.69,7401590.25,7219022.7,7171096.85,7367088.53,7878357.91,8018399.89,8387622.41,8864150.77,9177672.79,9538634.66,9820612.41,9693738.71,9760327.55,9910827.78,9960047.01,9735308.84,9380958.86,9894909.0,10140298.5,9882159.55,9420538.32,8839482.24,8213728.91
42,2022-02-12,7794718.81,7509452.12,7328237.66,7228495.11,7275048.75,7443964.9,7582042.93,8084250.9,8633563.77,8973099.87,9273976.97,9529701.95,9437088.78,9322317.37,9252068.54,9136303.82,9007528.12,8899001.81,9544343.3,9778081.0,9490956.25,9029830.47,8501319.97,8016863.98
43,2022-02-13,7600552.66,7304303.38,7093213.5,6975824.09,6865536.69,6802854.7,6644068.44,6867130.16,7308381.76,7642048.2,7858280.55,8100423.38,8243153.47,8227645.92,8134871.17,8115136.41,8055054.46,8061534.13,8866021.06,9195456.45,9060493.26,8734742.02,8317327.41,7831037.36
44,2022-02-14,7431829.7,7198174.98,7027274.42,6965478.63,7193481.79,7764736.22,7920204.83,8316165.72,8822199.09,9116611.11,9457873.32,9695301.94,9561218.0,9648887.54,9788211.4,9770942.15,9626279.62,9322487.26,9800428.08,10027756.5,9844022.15,9380940.97,8750057.17,8094912.04
45,2022-02-15,7665168.33,7376420.25,7247107.13,7172229.42,7360681.06,7866504.37,8008713.48,8390639.72,8820294.36,9059030.71,9337960.03,9564733.89,9448934.5,9534344.68,9733973.39,9763153.48,9589489.74,9255979.44,9707057.92,9975278.53,9753484.07,9306215.62,8625628.57,8005345.92
46,2022-02-16,7540659.41,7293864.48,7115017.93,7073278.86,7286979.75,7839784.64,7978790.31,8336699.05,8728610.78,9003316.25,9320829.41,9579771.82,9456959.09,9576247.97,9798330.22,9830147.81,9663078.36,9348080.58,9851928.07,10073155.3,9893738.49,9432290.45,8791617.37,8171044.4
47,2022-02-17,7744349.04,7457001.74,7248715.95,7183459.1,7405454.12,7966762.96,8056975.16,8416381.03,8857501.81,9143941.76,9516931.31,9769541.97,9671307.15,9766821.79,10018721.49,10016804.55,9802841.25,9464335.66,9988640.79,10219892.22,9977786.58,9501484.34,8839468.64,8214342.35
48,2022-02-18,7747868.14,7492412.0,7309222.46,7220869.91,7424843.36,7951368.4,8086975.34,8458070.32,8891729.51,9213966.57,9524338.41,9764336.1,9591333.85,9602696.98,9796151.82,9748252.99,9558728.76,9237022.71,9764676.48,9937015.35,9649247.76,9198221.68,8661176.38,8084052.88
49,2022-02-19,7681462.5,7442275.15,7267931.81,7155815.38,7213696.36,7384470.93,7550906.82,8016560.93,8546197.61,8878244.0,9163854.69,9321805.39,9298833.67,9174862.77,9074638.47,9012815.57,8874159.44,8780318.28,9383515.21,9598404.49,9320850.24,8883852.35,8357340.03,7882570.72
50,2022-02-20,7481182.26,7225797.93,6998383.51,6856841.42,6800654.4,6729223.67,6543884.25,6791661.76,7207287.81,7560596.95,7818512.25,8034807.8,8173679.5,8134762.36,8021019.3,7928192.76,7825756.72,7823056.86,8500389.92,8879454.41,8734045.17,8426295.07,8005735.52,7537055.64
51,2022-02-21,7177956.83,6949804.2,6803510.91,6753113.16,7015057.54,7605819.96,7721778.01,8182089.09,8663732.46,9018595.34,9369366.57,9632610.75,9555687.38,9642705.77,9848684.39,9809797.61,9688199.54,9416059.98,9826461.38,10075283.45,9789646.78,9365628.31,8709067.42,8080672.53
52,2022-02-22,7645447.56,7360789.99,7205684.0,7241746.45,7509214.79,8040521.79,8085348.05,8458487.74,8969605.34,9262236.61,9654516.46,10068299.89,9980923.04,10105119.96,10298464.27,10287870.6,9932863.36,9689234.06,10295431.05,10608639.56,10270304.84,9669858.3,8876099.19,8213766.64
53,2022-02-23,7974898.6,7506578.01,7491060.11,7507851.42,7484777.83,7976402.36,8096258.91,8481365.21,8928751.56,9431315.06,9834078.8,9884701.69,9737902.15,9919262.38,10043755.53,10052995.77,10089831.8,9852181.63,10056910.81,10305572.59,10038886.2,9689917.88,9024196.77,8501399.78
54,2022-02-24,7833111.66,7520699.03,7595004.83,7610955.36,7563500.08,7991703.37,8133435.53,8538513.56,9008914.35,9248293.65,9530545.21,9782572.44,9678014.79,9767719.34,9943538.68,9973947.64,9767848.61,9480118.74,9948480.85,10142663.26,9905745.62,9443493.21,8803400.81,8190331.3
55,2022-02-25,7734076.19,7475806.13,7319791.15,7279581.52,7473484.93,7966253.04,8127422.35,8570654.45,8981228.67,9243840.35,9650613.64,9933430.02,9829535.66,9862968.89,9980915.68,9956026.3,9732467.75,9437285.25,9855479.95,10131617.89,9881879.68,9427638.71,8869857.55,8268551.28
56,2022-02-26,7838690.97,7545869.62,7365236.83,7246822.93,7302802.85,7464048.23,7614078.39,8118180.41,8638209.66,8996132.96,9310726.34,9477772.03,9449948.05,9309960.55,9174829.82,9096726.38,8911886.54,8728370.54,9327657.71,9566686.3,9308895.35,8896631.5,8401586.11,7943629.37
57,2022-02-27,7513630.87,7253110.13,7023656.76,6887988.52,6817126.94,6784426.45,6643066.05,6916244.61,7299844.82,7655146.82,7891631.21,8110491.14,8243668.74,8189926.7,8074538.46,7958359.31,7896361.09,7958075.86,8669007.57,8962421.27,8831188.32,8470077.25,8039768.54,7587791.11
58,2022-02-28,7210754.14,6983836.15,6840555.69,6821500.6,7054700.65,7620639.93,7786995.06,8172817.23,8712868.11,8965316.97,9266985.54,9476671.93,9394627.93,9384715.61,9532705.13,9475448.81,9318224.98,9099446.58,9594040.84,9860905.99,9669096.22,9205596.68,8518185.8,7916089.76
59,2022-03-01,7515069.04,7284355.12,7106740.85,7066985.76,7269020.34,7795917.77,7900002.6,8285655.27,8703850.05,9006683.51,9340314.87,9580398.99,9442874.26,9542118.58,9676507.6,9614077.75,9490835.47,9261559.96,9790763.85,10098375.16,9896041.31,9461498.48,8770160.59,8133604.48
60,2022-03-02,7689580.25,7468450.32,7309093.96,7240839.01,7448269.22,8026131.47,8118495.99,8441334.26,8851297.75,9114074.38,9417751.5,9660701.72,9504549.07,9521604.81,9583894.16,9547110.58,9428037.02,9166050.02,9672235.12,9893380.3,9708747.34,9249085.62,8599913.42,7982270.37
61,2022-03-03,7571935.68,7311481.07,7162241.73,7089998.53,7308654.05,7873195.14,8008113.17,8368775.45,8793330.58,9118913.84,9449582.52,9697248.81,9594608.16,9557300.11,9761941.6,9762015.5,9612430.23,9346960.18,9786417.46,10015476.98,9775109.1,9341762.62,8703975.48,8088680.11
62,2022-03-04,7676533.85,7419665.55,7252038.18,7177377.94,7383223.01,7929114.18,8031753.98,8434123.91,8904024.47,9151003.51,9486308.26,9771182.71,9680192.0,9690838.04,9810389.55,9792818.44,9645778.42,9371015.57,9851292.78,10065063.05,9823428.71,9373633.3,8805841.63,8227748.73
63,2022-03-05,7782706.55,7501782.75,7322083.61,7219214.18,7314437.45,7493680.47,7632699.93,8139783.95,8655654.97,8995485.84,9256993.58,9426858.64,9373384.32,9172405.1,9070750.85,8953637.49,8857232.88,8746759.66,9355621.41,9520435.78,9268660.85,8803879.1,8253482.91,7761654.42
64,2022-03-06,7421650.71,7140539.26,6922477.74,6768708.48,6702895.09,6675234.33,6497591.31,6707823.08,7109250.31,7389926.78,7562797.39,7834169.57,7966779.77,7943066.63,7802187.21,7656709.19,7552022.38,7656395.72,8406610.28,8735576.78,8611333.73,8294655.11,7845087.62,7353866.69
65,2022-03-07,7015606.25,6800059.7,6696563.04,6667742.48,6951807.04,7534600.8,7749866.34,8155170.05,8635063.95,8943061.5,9299069.68,9574599.45,9424604.18,9470927.45,9638532.14,9658295.36,9502829.11,9276103.82,9759002.48,10090908.07,9847113.36,9393511.84,8737599.37,8030208.72
66,2022-03-08,7653135.35,7376165.81,7157857.83,7134267.26,7379102.8,7892283.45,7975292.95,8345228.62,8747791.62,9122624.25,9483860.78,9747045.18,9637924.79,9666402.57,9896111.35,9955539.08,9801817.58,9449804.59,9889952.41,10164865.93,9873881.55,9448326.26,8813719.07,8148530.26
67,2022-03-09,7698578.69,7429469.73,7246621.77,7163410.33,7388690.94,7900868.57,7998339.47,8362470.55,8811221.55,9110682.78,9473600.62,9736782.96,9640316.89,9731264.22,9954659.03,9973872.16,9767393.2,9391152.43,9823621.88,10166876.6,9893694.69,9421062.24,8766472.91,8130420.41
68,2022-03-10,7688509.64,7429675.38,7260286.07,7205953.46,7403929.3,7967678.98,8056427.3,8433709.04,8879079.42,9135807.99,9495362.16,9784001.41,9647953.47,9693531.17,9862589.79,9829218.86,9633190.78,9383628.72,9826038.18,10139364.86,9918894.39,9432725.88,8767961.88,8152919.38
69,2022-03-11,7713520.34,7448643.97,7252213.98,7175119.41,7368970.07,7884205.12,8033312.33,8456698.74,8873508.22,9218986.77,9510160.87,9766752.65,9725113.68,9802391.65,9914513.24,9790351.14,9595536.36,9332661.77,9756878.11,9989403.71,9742611.91,9310612.47,8789381.69,8202619.66
70,2022-03-12,7717494.32,7430999.17,7253024.7,7166651.41,7182537.93,7343799.97,7490895.42,7997653.03,8570150.7,8977568.37,9224930.1,9503454.09,9489214.49,9351089.9,9201080.32,9070401.67,8945162.44,8852477.5,9358303.96,9555056.79,9292266.52,8826196.09,8294882.62,7835943.78
71,2022-03-13,7422779.87,7156446.39,6934735.44,6794150.77,6741244.45,6740236.45,6652587.55,6914352.42,7260430.92,7526211.97,7741876.59,7877382.27,7988254.84,7932972.99,7786349.88,7731315.12,7780049.54,7901401.23,8628888.71,9006525.86,8882551.99,8573556.98,8115831.73,7644425.43
72,2022-03-14,7304499.04,7075460.0,6935972.99,6879882.11,7112338.06,7655484.7,7840213.2,8333243.76,8854878.02,9204035.89,9525218.38,9780670.65,9734777.19,9827034.52,9945898.57,9908416.5,9764202.77,9453653.93,9857588.29,10069354.4,9852119.13,9353653.76,8714603.3,8101719.94
73,2022-03-15,7664197.97,7395645.53,7245943.99,7165978.41,7381374.15,7924613.1,8038457.15,8471460.78,8888872.91,9130292.15,9464888.15,9660834.61,9622661.43,9703937.15,9890630.23,9948465.35,9781442.47,9470770.01,10006603.17,10249111.07,10024164.59,9552313.84,8872462.04,8229679.72
74,2022-03-16,7761021.34,7499835.2,7325981.35,7256452.99,7471980.62,8021904.98,8097657.23,8491165.29,8949659.69,9244263.05,9608699.02,9849780.07,9750248.62,9862323.04,10028351.5,10028705.77,9815287.34,9496529.59,9971032.33,10248164.14,10022291.55,9546446.02,8871250.18,8210145.81
75,2022-03-17,7748869.53,7427088.64,7299498.62,7270162.46,7504895.42,8027583.4,8111480.4,8526421.83,8995649.05,9264050.97,9556504.14,9802276.77,9752301.16,9842785.34,10016944.15,9939612.27,9615255.31,9472749.38,9989992.56,10287925.38,10065878.65,9597194.0,8932644.85,8278413.74
76,2022-03-18,7819341.41,7589601.78,7397402.65,7324773.52,7549875.9,8024249.14,8137236.04,8560345.92,9057835.09,9327103.14,9681421.16,9876418.81,9777250.92,9875850.79,10041264.42,10010652.26,9841041.56,9524771.96,9975470.03,10194175.27,9943757.64,9509565.22,8948195.42,8351988.58
77,2022-03-19,7927022.28,7639569.16,7440877.0,7324343.66,7358781.83,7463706.47,7598983.88,8158366.48,8721035.78,9035658.19,9322495.98,9460831.65,9445937.37,9266405.66,9158675.05,9110716.76,8957244.82,8884233.09,9499728.71,9711810.1,9425683.96,8926728.1,8451447.42,7967341.08
78,2022-03-20,7607757.94,7352158.77,7124888.81,6963113.21,6896219.13,6857819.63,6747514.47,7001106.9,7388823.72,7723009.56,8001234.16,8155952.27,8254826.82,8255720.04,8126087.46,8017271.17,7949023.17,7921382.16,8603989.76,8896183.02,8725552.91,8415909.78,8030309.85,7615221.32
79,2022-03-21,7269085.46,7031148.88,6867945.77,6744889.16,6740950.46,6771675.18,6685438.55,6994547.65,7445990.66,7857934.73,8193157.45,8484990.75,8596057.73,8545536.98,8416475.56,8325787.48,8251927.24,8253224.75,8981695.14,9338639.41,9177372.46,8819648.16,8324214.19,7839331.4
80,2022-03-22,7468000.06,7227033.82,7067731.29,7032346.36,7273000.23,7795342.68,7938691.09,8382921.91,8878630.08,9180730.31,9516709.35,9778395.84,9701715.26,9736110.05,9908997.85,9929745.26,9718829.95,9421181.47,9967319.88,10258638.04,10012534.79,9554702.24,8882537.46,8255581.34
81,2022-03-23,7799203.25,7534500.57,7359491.73,7294355.14,7536501.02,7992111.77,8054257.41,8464899.45,8943033.45,9261246.85,9638396.96,9896523.52,9749519.69,9816466.59,9979012.83,9992994.13,9806006.81,9495056.92,9977155.78,10253916.75,10043942.87,9561994.06,8921806.2,8286179.24
82,2022-03-24,7840105.58,7571131.46,7390677.87,7338913.12,7576319.95,8060207.1,8151514.47,8560336.37,9049392.54,9344393.69,9714448.34,9944929.84,9845309.38,9905891.08,10139117.65,10109155.07,9946260.62,9669524.62,10223181.06,10447332.46,10155812.05,9679947.64,9013393.81,8363992.42
83,2022-03-25,7936820.4,7634248.24,7451433.8,7387719.39,7556442.79,8041974.69,8177610.43,8620370.89,9106909.85,9371850.95,9726183.33,9976870.03,9921281.91,9983138.22,10158159.79,10196228.98,9989950.86,9707558.26,10134209.18,10336548.65,10058195.33,9622999.43,9058870.81,8497466.54
84,2022-03-26,8018143.43,7729100.62,7536637.46,7434141.61,7476566.43,7609838.28,7747306.94,8267444.85,8757026.72,9041738.87,9348590.2,9593609.33,9516397.65,9344768.62,9231131.1,9085166.01,8946635.13,8863712.42,9469938.06,9646151.63,9374523.46,8898640.32,8404321.92,7903819.67
85,2022-03-27,7519988.93,7220078.71,7027298.07,6901785.47,6841303.47,6807507.13,6675707.53,7031086.46,7407688.03,7723359.92,7973903.81,8183625.49,8280603.31,8239406.28,8080117.17,7987002.81,7864241.12,7914324.62,8636415.57,8930212.81,8805444.44,8503398.22,8042272.23,7490121.88
86,2022-03-28,7210712.48,7005369.39,6887988.39,6870715.16,7123526.01,7679019.35,7841470.61,8262419.84,8696181.91,8951991.53,9340298.41,9626233.73,9505035.69,9528026.68,9665098.29,9676200.51,9532881.83,9255727.24,9833266.37,10059974.53,9780828.35,9254155.97,8623315.6,7841726.28
87,2022-03-29,7445919.44,7193012.79,7079747.73,7014721.8,7269484.46,7797483.65,7968271.68,8399801.34,8792454.11,9054095.64,9367338.8,9645869.77,9599999.15,9595140.46,9739671.29,9668848.64,9536972.68,9397740.0,9996595.44,10127707.06,9830825.79,9331759.49,8654525.0,8041844.66
